Source1,SourceX,SourceXX,Source,SourceX2,desc,SourceN,problem_name,Instances,feature_dec_max_range,probindex,rwalk_l,feature_sup_avg_rws,feature_inf_avg_rws,feature_inc_avg_rws,feature_lnd_avg_rws,p_disp_avg_rws,feature_sup_r1_rws,feature_inf_r1_rws,feature_inc_r1_rws,feature_lnd_r1_rws,old_dec_min_range,old_dec_max_range,feature_decdist,feature_obdist,feature_obclust_n,feature_obclust_min,feature_obclust_max,feature_obclust_range,feature_obdist_max,feature_obdist_mean,feature_obdist_iqr_mean,feature_mdl_r2,feature_range_coeff,feature_rankprop,decsize,probsize,feature_kurt_rank,feature_kurt_avg,feature_kurt_min,feature_kurt_max,feature_kurt_rnge,nbrs_fnd,Hx,feature_Hy,feature_Hxy,feature_signif,feature_min_nbrdist,obdisc_med,kurt_med,med_decdist,feature_avg_nbr_rank_best,feature_min_nbr_rank_best,feature_max_nbr_rank_best,feature_aep,algo_GrEA,algo_HypE,algo_IBEA,algo_MOEAD,algo_NSGAII,algo_SPEA2
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F3,MOEADDE_F3_0,2,0,11000,0.3777,0.3992,0.2201,0.3558,79.00890391,0.237522973,0.238094554,0.079084091,0.027584547,0,0.000427097,1.139887284,0.43043368,2,0.400454545,0.599545455,0.199090909,1.93288965,0.43043368,0.183975364,0.266996621,77.79981116,0.003636364,30,2,2.480695937,3.004619819,2.744366917,3.264872722,0.520505805,0.997,20.08635095,0.922428817,22.09124154,-1.173490839,0,0,3.004619819,0,51.83216783,2,92.54545455,0.326462996,1.92456083,1.925154054,1.922743813,1.910781884,1.921224545,1.922928501
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F4,MOEADDE_F4_0,2,0,11000,0.375,0.4004,0.2216,0.3508,86.44399435,0.21644099,0.212152437,0.054392495,0.030311255,0,0.000427097,1.215884044,0.419786581,2,0.237272727,0.762727273,0.525454545,1.886526147,0.419786581,0.392331078,0.292153034,79.55749199,0.003727273,30,2,2.465601726,3.527980341,3.264872722,3.79108796,0.526215238,0.997,20.08635095,0.997192401,22.27052959,-1.190328196,0,0,3.527980341,0,50.09090909,2.090909091,87,0.306557809,1.919576788,1.92565239,1.925275798,1.9211137,1.920224956,1.921744973
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F5,MOEADDE_F5_0,2,0,11000,0.3631,0.3775,0.2564,0.3879,69.55778261,0.211707167,0.225282634,0.110196969,0.018822647,0,0.000427097,0.992674455,0.440075236,2,0.436181818,0.563818182,0.127636364,2.084661683,0.440075236,0,0.179904693,54.71907752,0.003454545,30,2,2.491157661,2.764416869,2.705041226,2.823792513,0.118751287,0.997,20.08635095,0.69172003,21.82684102,-1.516177048,0,0,2.764416869,0,40.74380165,1.909090909,84.09090909,0.324342981,1.939887887,1.94173789,1.942799434,1.938642091,1.941380594,1.939783882
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing3,MOEADDE_F6,MOEADDE_F6_0,4,0,11000,0.3419,0.312,0.3461,0.4799,647.841357,0.237793826,0.265774333,0.172195471,0.160991268,0,1.000272475,3.644564309,3.750929656,2,0.256363636,0.743636364,0.487272727,17.23826443,3.750929656,1.901793308,0.161739857,15.02329847,0.006,10,3,2.603329759,4.790616723,4.2471127,5.563260906,1.316148206,1,11.06546172,7.413388269,20.17937076,-0.229385094,132.6044803,3.011502915,4.561476562,3.607788574,16.43730408,8.181818182,31,0.313226494,1.879421376,1.732503308,1.860779057,1.815896576,1.815976121,1.852979709
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F7,MOEADDE_F7_0,1,0,11000,0.4362,0.3754,0.1884,0.2515,171.4627082,0.019672295,0.045845634,-0.003849144,-0.021144187,0,8.48E-05,1.174460918,2.472224236,4,0.150909091,0.316090909,0.165181818,8.328183493,2.472224236,2.004813326,0.04048938,35.71136749,0.001181818,10,2,2.204741589,3.652141178,3.565249225,3.739033132,0.173783907,1,-0.051920997,3.180680307,4.352400504,-0.384710526,42.55312679,2.015656748,3.652141178,1.199860713,49.67132867,23.18181818,90.81818182,0.303973343,1.779203777,1.765414662,1.773844008,1.636277156,1.767973135,1.762936985
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F8,MOEADDE_F8_0,1,0,11000,0.436,0.3962,0.1678,0.2424,112.243582,0.098106943,0.14968215,0.120845104,0.018691037,0,8.48E-05,0.898396983,1.142235738,2,0.318363636,0.681636364,0.363272727,3.599194726,1.142235738,0.937521221,0.070627683,51.09294865,0.000818182,10,2,2.068175325,4.147435268,4.070210291,4.224660245,0.154449953,1,-0.051920997,2.662317812,3.902642763,-0.485383804,14.68585368,0.91353119,4.147435268,0.899382553,36.68686869,11.81818182,90.63636364,0.319381448,1.766182785,1.755630695,1.780330344,1.631558313,1.766372027,1.76405505
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F9,MOEADDE_F9_0,2,0,11000,0.3758,0.3852,0.236,0.34,104.6199755,0.048466216,0.060008705,0.02393161,-0.050984579,0,0.000427097,3.776394329,0.945674097,2,0.469818182,0.530181818,0.060363636,2.742342404,0.945674097,1.001036422,0.002519424,7.676189876,0.001272727,30,2,2.184680219,2.889555175,2.835845938,2.943264411,0.107418473,0.997,20.08635095,1.696006928,22.82989137,-0.61764694,0,0.849015185,2.889555175,3.867793737,66.44755245,48.36363636,79.27272727,0.304604661,1.891065882,1.877725297,1.888250018,1.809143553,1.89197869,1.88840439
MOEADM2M,existing,existing,existing,MOEADM2M,conv,existing2,MOEADM2M_F1,MOEADM2M_F1_0,1,0,11000,0.401,0.4467,0.1523,0.2098,62.10989472,0.11922642,0.000744081,0.142886078,0.197390884,0,8.48E-05,1.367009053,0.335910971,16,0.034090909,0.087090909,0.053,1.407794485,0.335910971,0.012529816,0.106257356,100.8590207,0.002,10,2,2.691914885,1.777460923,1.684387758,1.870534088,0.18614633,1,-0.051920997,0.403327349,1.588332263,-3.066803956,8.913744389,0.011638523,1.777460923,1.429533639,145.3246753,96.54545455,212.2727273,0.292902534,1.694937879,1.696369602,1.705122164,1.697450342,1.69434134,1.696749102
MOEADM2M,existing,existing,existing,MOEADM2M,concave,existing2,MOEADM2M_F2,MOEADM2M_F2_0,1,0,11000,0.4318,0.4682,0.1,0.1517,117.1315978,0.10584564,0.010097713,0.062146893,0.134206962,0,8.48E-05,0.542547179,0.530600326,18,0.037090909,0.071545455,0.034454545,1.414934202,0.530600326,0.707467101,0.039370703,82.65098356,0.000363636,10,2,2.358534615,1.875430519,1.769043259,1.98181778,0.212774521,1,-0.051920997,1.545660788,2.651157955,-0.748817705,15.50261874,0,1.875430519,0,162.3863636,130.6363636,201.6363636,0.316720411,1.848376822,1.848376822,1.848376822,1.848376822,1.848376822,1.848428073
MOEADM2M,existing,existing,existing,MOEADM2M,concave,existing2,MOEADM2M_F3,MOEADM2M_F3_0,1,0,11000,0.4006,0.4209,0.1785,0.2495,93.35372476,0.104504657,0.061045319,0.293347351,0.331852263,0,8.48E-05,1.296279343,0.802326909,18,0.032454545,0.084181818,0.051727273,3.642707541,0.802326909,0.635565115,0.173260795,220.2088262,0.001272727,10,2,1.647826796,1.9680586,1.769102599,2.167014601,0.397912002,1,-0.051920997,1.651624567,2.712333898,-0.673658136,16.12236502,0.480122789,1.9680586,1.457999491,78.68831169,28.72727273,196.1818182,0.317654156,1.670232401,1.597201651,1.722936151,1.640887005,1.579542613,1.600210623
MOEADM2M,existing,existing,existing,MOEADM2M,disc,existing2,MOEADM2M_F4,MOEADM2M_F4_0,1,0,11000,0.4173,0.4771,0.1056,0.1744,137.0683382,0.094167783,0.033351406,0.063126731,0.17191744,0,8.48E-05,1.381860515,0.307282962,20,0.025545455,0.078,0.052454545,1.407785477,0.307282962,0.022214907,0.006090477,15.85279953,0.002272727,10,2,2.396751701,2.090837874,1.98181778,2.199857969,0.218040189,1,-0.051920997,1.402377155,2.617178719,-0.90326811,22.37711344,0.020276855,2.090837874,1.458993385,165.9841897,100.9090909,276.4545455,0.316545567,1.785183023,1.784610624,1.793401373,1.795393441,1.784330248,1.785370061
